# claims.tsv - merged traceability matrix, capstone paper -> aitchinson-flow artifacts
# columns: id  paper_loc  quantity  expected  tol  tier  artifact  pointer  notes
G1	chapters/results.tex:63	tab:gen KL_uni, FM on clr	0.003	0.0005	T0	runs/sflm_bench_a100_20g_L256/FMonCLR/eval_all.json	KL_uni	n=256 samples, 200 steps, L=256
G2	chapters/results.tex:63	tab:gen KL_bi, FM on clr	1.501	0.0005	T0	runs/sflm_bench_a100_20g_L256/FMonCLR/eval_all.json	KL_bi	n=256 samples, 200 steps, L=256
G3	chapters/results.tex:63	tab:gen KL_tri, FM on clr	5.257	0.0005	T0	runs/sflm_bench_a100_20g_L256/FMonCLR/eval_all.json	KL_tri	n=256 samples, 200 steps, L=256
G4	chapters/results.tex:63	tab:gen H_ratio, FM on clr	0.999	0.0005	T0	runs/sflm_bench_a100_20g_L256/FMonCLR/eval_all.json	H_ratio	n=256 samples, 200 steps, L=256
G5	chapters/results.tex:63	tab:gen Delta@.50, FM on clr	0.044	0.0005	T0	runs/sflm_bench_a100_20g_L256/FMonCLR/recovery.json	rows[alpha=0.5].delta	transport-recovery headline
G6	chapters/results.tex:64	tab:gen KL_uni, Statistical FM	0.003	0.0005	T0	runs/sflm_bench_a100_20g_L256/SFM/eval_all.json	KL_uni	n=256 samples, 200 steps, L=256
G7	chapters/results.tex:64	tab:gen KL_bi, Statistical FM	1.494	0.0005	T0	runs/sflm_bench_a100_20g_L256/SFM/eval_all.json	KL_bi	n=256 samples, 200 steps, L=256
G8	chapters/results.tex:64	tab:gen KL_tri, Statistical FM	5.106	0.0005	T0	runs/sflm_bench_a100_20g_L256/SFM/eval_all.json	KL_tri	n=256 samples, 200 steps, L=256
G9	chapters/results.tex:64	tab:gen H_ratio, Statistical FM	0.991	0.0005	T0	runs/sflm_bench_a100_20g_L256/SFM/eval_all.json	H_ratio	n=256 samples, 200 steps, L=256
G10	chapters/results.tex:64	tab:gen Delta@.50, Statistical FM	-0.018	0.0005	T0	runs/sflm_bench_a100_20g_L256/SFM/recovery.json	rows[alpha=0.5].delta	transport-recovery headline
G11	chapters/results.tex:65	tab:gen KL_uni, Fisher FM	0.006	0.0005	T0	runs/sflm_bench_a100_20g_L256/FisherFM/eval_all.json	KL_uni	n=256 samples, 200 steps, L=256
G12	chapters/results.tex:65	tab:gen KL_bi, Fisher FM	1.418	0.0005	T0	runs/sflm_bench_a100_20g_L256/FisherFM/eval_all.json	KL_bi	n=256 samples, 200 steps, L=256
G13	chapters/results.tex:65	tab:gen KL_tri, Fisher FM	5.151	0.0005	T0	runs/sflm_bench_a100_20g_L256/FisherFM/eval_all.json	KL_tri	n=256 samples, 200 steps, L=256
